,lable,timesubmit,idemail,username,note,timeuse,address,Body,maintenance
383,tenancy related|termination|non payment of rent|notice to tenant,1704879418.466204,tony53,tony,,103,other|other|other|other,"9 November 2023

Imran Ali Khan & Zahra Anwari & Janan HUSSAINI
42 Mundowey Entrance
Villawood NSW 2163

Dear Imran Ali Khan & Farima & Janan, 

Lot 162, 42 Mundowey Entrance, Villawood NSW 2163


Our records show that your rent is paid to 22/09/2023. This makes you $4,358.46 in arrears including $261.54 credit.

Your landlord has enquired and is increasingly concerned and becoming increasingly frustrated over this situation.

As a result, termination of your tenancy has been instructed. Application to NSW Civil and Administrative Tribunal (NCAT) will be submitted imminently – if not yet already.

If you've submitted any rental payments from from 10/10/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.


Otherwise, in resolving the matter - you're required to submit payment of $4,358.46 + $660.00 to have your account reconciled and rent paid up for the corresponding period.

The payment confirmation is required in response to this email immediately.

Failure to commit to paying rent on time will result in an NCAT order, enforcing the termination of your tenancy, vacant possession of your property and your landlord will take necessary measures to re-coop any outstanding amount as a result.

Moreover, you will be registered on TRA database - which will result in you experiencing great difficulty in future rental and financial prospects.

Lastly, if you have any questions or queries - please respond to my email, I'll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards


Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

",tenancy related
384,account|rent|arrears|arrears notice to tenant,1704879441.8031435,tony54,tony,,23,other|other|other|other,"Hi Dong Yeob Yoo,

Please be advised, your rent is over a fortnight over due. Your landlord has suggested proceeding with terminating your lease.

If this is not resolved shortly, and we do not have your commitment to rental payment, we will be terminating your lease on instruction by your landlord.


Your rent is currently 42 days in arrears; paid up to 28/09/2023 and $0.00 credit for the next period from 29/09/2023.


The last payment we've received was $1,950.00 on 04/10/2023. For your reference, attached is your complete tenancy ledger.

If you’ve submitted any rental payments from 04/10/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.

Otherwise, please submit the required payment of $3,900.00 + $650.00 for the next period (also due for payment) to have your account reconciled and rent paid up for the corresponding period.

Rental payments are required to be processed 3 days prior to the due date as it can take up to 3 days for any electronic payment to be cleared and received.

Please note – your Weekly rental payment $650.00 should be submitted no later than Tuesday per week / fortnight.


Once the payment for the above is processed and to avoid this issue in future - ensure your next rental payment is submitted no later than Tuesday 14/11/2023, then scheduled regularly thereafter.

Kindly note - rental arrears reminders will reflect on your permanent rental history.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image0871fc9650834b3f8f96fa65ce3400de>

",account
385,portfolia management|termination|non-payment of rent|notice to owner,1704879459.8415527,tony55,tony,,17,other|other|other|other,"Dear Guang Jian,

Hope you and your family are very well.

Just a following
update,  'Imran Ali Khan; Zahra Anwari; Janan Hussaini' - the
tenant(s) of the above property have only paid rent
to 22/09/2023. All efforts to have their rent
paid up to date, have unfortunately not been successful.

To minimise any further loss, we have served the
tenant(s) with a Termination Notice as required and the termination date
is 24/11/2023.

Should the tenant(s) meet their commitments in the
meantime, as they may well do, we will contact you to discuss the matter and
request your instructions. If this is not the case, unless we hear from you
otherwise, we will proceed with the application for a NSW Civil &
Administrative Tribunal hearing on your behalf.

Please
refer below for the action has been and will be taken:

Tenant arrears day

Action

 

1-7 days

Daily arrears notice sent and phone call make

 Ö


8-14 days

Daily arrears notice sent and phone call make, physical visit to premise

 Ö


15 days and above

A termination of tenancy due to non-payment of rent is issued

 Ö


21 days and above

Apply to NCAT to seek for vacant possession; eviction from sheriff require case by case

 




Please
expect the rent income may delay or insufficient for your
mortgage repayment at the end of month transaction.


We will be
submitting a claim on your tenant’s bond $2,600.00 and your
landlord insurance policy (if applicable) in order to recover the loss, once we
obtained vacant possession. Please consult with me on tonywang@pia.com.au for further
information.

For your
information, the tenancy lease agreement is/will end on
19/11/2022, should you consider a replacement of a tenancy
please advise and I will endeavor to facility on this. 

Thank you
for your attention and assuring you of our prompt attention and very best
service at all times.

Yours sincerely,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image2df21ba9f9ab4a3c8cd5ac3927e91ba8>

",portfolia management
386,tenancy related|termination|non payment of rent|notice to tenant,1704879479.492283,tony56,tony,,19,other|other|other|other,"9 November 2023

Sieun Jang
Unit 1607/13 Angas street
Meadowbank NSW 2114

Dear Sieun Jang, 

Unit 1607/13 Angas street, Meadowbank NSW 2114


Our records show that your rent is paid to 20/10/2023. This makes you $2,340.00 in arrears including $ 0.00 credit.

Your landlord has enquired and is increasingly concerned and becoming increasingly frustrated over this situation.

As a result, termination of your tenancy has been instructed. Application to NSW Civil and Administrative Tribunal (NCAT) will be submitted imminently – if not yet already.

If you've submitted any rental payments from from 3/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.


Otherwise, in resolving the matter - you're required to submit payment of $2,340.00 + $0.00 to have your account reconciled and rent paid up for the corresponding period.

The payment confirmation is required in response to this email immediately.

Failure to commit to paying rent on time will result in an NCAT order, enforcing the termination of your tenancy, vacant possession of your property and your landlord will take necessary measures to re-coop any outstanding amount as a result.

Moreover, you will be registered on TRA database - which will result in you experiencing great difficulty in future rental and financial prospects.

Lastly, if you have any questions or queries - please respond to my email, I'll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards


Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

",tenancy related
387,account|rent|arrears|arrears notice to tenant,1704879496.520478,tony57,tony,,16,other|other|other|other,"9 November 2023

Danny Truong
Unit 33A/20-24 Sorrell St
PARRAMATTA NSW 2150

Dear Danny Truong, 

Lot 33, Unit 33A/20-24 Sorrell St, PARRAMATTA NSW 2150


Our records show that your rent is paid to 19/10/2023. This makes you $850.00 in arrears including $200.00 credit.

Your landlord has enquired and is increasingly concerned and becoming increasingly frustrated over this situation.

As a result, termination of your tenancy has been instructed. Application to NSW Civil and Administrative Tribunal (NCAT) will be submitted imminently – if not yet already.

If you've submitted any rental payments from from 1/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.


Otherwise, in resolving the matter - you're required to submit payment of $850.00 + $350.00 to have your account reconciled and rent paid up for the corresponding period.

The payment confirmation is required in response to this email immediately.

Failure to commit to paying rent on time will result in an NCAT order, enforcing the termination of your tenancy, vacant possession of your property and your landlord will take necessary measures to re-coop any outstanding amount as a result.

Moreover, you will be registered on TRA database - which will result in you experiencing great difficulty in future rental and financial prospects.

Lastly, if you have any questions or queries - please respond to my email, I'll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards


Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

",account
388,portfolia management|termination|non-payment of rent|notice to owner,1704879516.9367676,tony58,tony,,20,other|other|other|other,"Dear Jessica,

Hope you and your family are very well.

Just a following
update,  '' - the
tenant(s) of the above property have only paid rent
to . All efforts to have their rent
paid up to date, have unfortunately not been successful.

To minimise any further loss, we have served the
tenant(s) with a Termination Notice as required and the termination date
is .

Should the tenant(s) meet their commitments in the
meantime, as they may well do, we will contact you to discuss the matter and
request your instructions. If this is not the case, unless we hear from you
otherwise, we will proceed with the application for a NSW Civil &
Administrative Tribunal hearing on your behalf.

Please
refer below for the action has been and will be taken:

Tenant arrears day

Action

 

1-7 days

Daily arrears notice sent and phone call make

 Ö


8-14 days

Daily arrears notice sent and phone call make, physical visit to premise

 Ö


15 days and above

A termination of tenancy due to non-payment of rent is issued

 Ö


21 days and above

Apply to NCAT to seek for vacant possession; eviction from sheriff require case by case

 




Please
expect the rent income may delay or insufficient for your
mortgage repayment at the end of month transaction.


We will be
submitting a claim on your tenant’s bond  and your
landlord insurance policy (if applicable) in order to recover the loss, once we
obtained vacant possession. Please consult with me on tonywang@pia.com.au for further
information.

For your
information, the tenancy lease agreement is/will end on
, should you consider a replacement of a tenancy
please advise and I will endeavor to facility on this. 

Thank you
for your attention and assuring you of our prompt attention and very best
service at all times.

Yours sincerely,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image64b3d8d79c0b4e15a43ebd594bffb007>

",portfolia management
389,strata|notice to owner|other|other,1704879551.428409,tony60,tony,,34,other|other|other|other,"Dear Xinyin Chen,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image0a8459645bac4f89a7eaa7cf3ce6f471>




From: pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au> <pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au>> On Behalf Of Samantha
Dudman
Sent: Thursday, 9 November 2023 1:08 PM
Cc: Robert Fothergill <Robert@thestratalife.com.au<mailto:Robert@thestratalife.com.au>>;
Samantha Dudman <Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>>
Subject: SP 86799 - 2-4 Porter Street, RYDE, NSW, 2112 - Visitor Parking
Breach - 09.11.2023

 

Dear Owners, Agents & Residents, 

 

Our office acts as Managing Agent for the above property.

 

Further to our previous letter issued on Friday the 13th
of October, we have been advised that residents are still continuing to park
vehicles in the visitor car spaces at the property. The visitor’s space is
common property and as such parking is not allowed without consent of the
Owner's Corporation. The Owner's Corporation allows parking in that area for
genuine visitors only.

 

Please find the applicable By-law below.

 

By-Law 2 clearly states:

Vehicles

‘An owner or
occupier of a lot must not park or stand any motor or other vehicle on common
property except with the written approval of the Owner’s Corporation.”

 

The following
Number Plates have been reported as continuously parking in theses spaces: 

BDK 42M, YLH 21P, DNN 86V, DDX 88S, BV 68 XN, EMP 45J,
BV5 2XS, XPQ 282, EMD 11D, CM4 8VR, BC3 3UC, CIL 31V, EMB 92H, DVW 63T.

 

If your number plate is shown above please note that
further action may be taken if they are continually found parking in these
spaces. Please ensure residents of your unit park their car either in the
allocated space or off common property i.e. on the street.

 

Please note repeated breaches of the Strata Schemes
Management Act 2015 can result in fines of up to $1100.

 

Thank you in advance for your assistance in the above
matter.

 

Kind
Regards,

 

Samantha
Dudman

Assistant Strata Manager 

D: (02) 9456 9923

E:Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image001.jpg>

   Liability Limited by a scheme
approved under Professional Standards Legislation

 

Useful Strata resources:

*	Strata Life Blog – Click here<https://www.thestratalife.com.au/knowledge-centre/>
*	Strata Living Guide – Click here<https://www.thestratalife.com.au/strata-living-guide/>
*	New NSW Strata Website – Click here<https://www.nsw.gov.au/housing-and-construction/strata>

 

 

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image002.jpg>

CONFIDENTIALITY  NOTICE

This email may be confidential and/or privileged; the information contained in this email is intended for the use of the intended recipient only and may contain information that is confidential. If you are not the intended recipient, any use, distribution, copying, disclosure or reliance on the contents of this email will be in breach of laws relating to confidential information. If you have received this email in error, please notify the sender and delete this document. We do not guarantee that this email is error or virus free.

Strata Life Pty Ltd does not guarantee that the communication is free of errors, virus, interception or interference and the recipient should check this email and attachments for viruses. This notice should remain intact.

 



 

",strata
390,strata|notice to resident|other|other,1704879594.6220806,tony61,tony,,43,other|other|other|other,"Dear Jinsung Kim,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imageaa272f714e094fb4b4d3fcf6ed1952ae>




From: pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au> <pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au>> On Behalf Of Samantha
Dudman
Sent: Thursday, 9 November 2023 1:08 PM
Cc: Robert Fothergill <Robert@thestratalife.com.au<mailto:Robert@thestratalife.com.au>>;
Samantha Dudman <Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>>
Subject: SP 86799 - 2-4 Porter Street, RYDE, NSW, 2112 - Visitor Parking
Breach - 09.11.2023

 

Dear Owners, Agents & Residents, 

 

Our office acts as Managing Agent for the above property.

 

Further to our previous letter issued on Friday the 13th
of October, we have been advised that residents are still continuing to park
vehicles in the visitor car spaces at the property. The visitor’s space is
common property and as such parking is not allowed without consent of the
Owner's Corporation. The Owner's Corporation allows parking in that area for
genuine visitors only.

 

Please find the applicable By-law below.

 

By-Law 2 clearly states:

Vehicles

‘An owner or
occupier of a lot must not park or stand any motor or other vehicle on common
property except with the written approval of the Owner’s Corporation.”

 

The following
Number Plates have been reported as continuously parking in theses spaces: 

BDK 42M, YLH 21P, DNN 86V, DDX 88S, BV 68 XN, EMP 45J,
BV5 2XS, XPQ 282, EMD 11D, CM4 8VR, BC3 3UC, CIL 31V, EMB 92H, DVW 63T.

 

If your number plate is shown above please note that
further action may be taken if they are continually found parking in these
spaces. Please ensure residents of your unit park their car either in the
allocated space or off common property i.e. on the street.

 

Please note repeated breaches of the Strata Schemes
Management Act 2015 can result in fines of up to $1100.

 

Thank you in advance for your assistance in the above
matter.

 

Kind
Regards,

 

Samantha
Dudman

Assistant Strata Manager 

D: (02) 9456 9923

E:Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image001.jpg>

   Liability Limited by a scheme
approved under Professional Standards Legislation

 

Useful Strata resources:

*	Strata Life Blog – Click here<https://www.thestratalife.com.au/knowledge-centre/>
*	Strata Living Guide – Click here<https://www.thestratalife.com.au/strata-living-guide/>
*	New NSW Strata Website – Click here<https://www.nsw.gov.au/housing-and-construction/strata>

 

 

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image002.jpg>

CONFIDENTIALITY  NOTICE

This email may be confidential and/or privileged; the information contained in this email is intended for the use of the intended recipient only and may contain information that is confidential. If you are not the intended recipient, any use, distribution, copying, disclosure or reliance on the contents of this email will be in breach of laws relating to confidential information. If you have received this email in error, please notify the sender and delete this document. We do not guarantee that this email is error or virus free.

Strata Life Pty Ltd does not guarantee that the communication is free of errors, virus, interception or interference and the recipient should check this email and attachments for viruses. This notice should remain intact.

 



 

",strata
391,strata|notice to resident|other|other,1704879615.8512237,tony62,tony,,21,other|other|other|other,"Dear Marina Veddovi,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imagec2eeb48bde0b41b4bc58fcd69f20101b>




From: pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au> <pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au>> On Behalf Of Samantha
Dudman
Sent: Thursday, 9 November 2023 1:08 PM
Cc: Robert Fothergill <Robert@thestratalife.com.au<mailto:Robert@thestratalife.com.au>>;
Samantha Dudman <Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>>
Subject: SP 86799 - 2-4 Porter Street, RYDE, NSW, 2112 - Visitor Parking
Breach - 09.11.2023

 

Dear Owners, Agents & Residents, 

 

Our office acts as Managing Agent for the above property.

 

Further to our previous letter issued on Friday the 13th
of October, we have been advised that residents are still continuing to park
vehicles in the visitor car spaces at the property. The visitor’s space is
common property and as such parking is not allowed without consent of the
Owner's Corporation. The Owner's Corporation allows parking in that area for
genuine visitors only.

 

Please find the applicable By-law below.

 

By-Law 2 clearly states:

Vehicles

‘An owner or
occupier of a lot must not park or stand any motor or other vehicle on common
property except with the written approval of the Owner’s Corporation.”

 

The following
Number Plates have been reported as continuously parking in theses spaces: 

BDK 42M, YLH 21P, DNN 86V, DDX 88S, BV 68 XN, EMP 45J,
BV5 2XS, XPQ 282, EMD 11D, CM4 8VR, BC3 3UC, CIL 31V, EMB 92H, DVW 63T.

 

If your number plate is shown above please note that
further action may be taken if they are continually found parking in these
spaces. Please ensure residents of your unit park their car either in the
allocated space or off common property i.e. on the street.

 

Please note repeated breaches of the Strata Schemes
Management Act 2015 can result in fines of up to $1100.

 

Thank you in advance for your assistance in the above
matter.

 

Kind
Regards,

 

Samantha
Dudman

Assistant Strata Manager 

D: (02) 9456 9923

E:Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image001.jpg>

   Liability Limited by a scheme
approved under Professional Standards Legislation

 

Useful Strata resources:

*	Strata Life Blog – Click here<https://www.thestratalife.com.au/knowledge-centre/>
*	Strata Living Guide – Click here<https://www.thestratalife.com.au/strata-living-guide/>
*	New NSW Strata Website – Click here<https://www.nsw.gov.au/housing-and-construction/strata>

 

 

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image002.jpg>

CONFIDENTIALITY  NOTICE

This email may be confidential and/or privileged; the information contained in this email is intended for the use of the intended recipient only and may contain information that is confidential. If you are not the intended recipient, any use, distribution, copying, disclosure or reliance on the contents of this email will be in breach of laws relating to confidential information. If you have received this email in error, please notify the sender and delete this document. We do not guarantee that this email is error or virus free.

Strata Life Pty Ltd does not guarantee that the communication is free of errors, virus, interception or interference and the recipient should check this email and attachments for viruses. This notice should remain intact.

 



 

",strata
392,strata|notice to resident|other|other,1704879627.8941944,tony63,tony,,11,other|other|other|other,"Dear Dmitrii Shek & Liia,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imagee0563d0db38646adb6618cedae128325>




From: pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au> <pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au>> On Behalf Of Samantha
Dudman
Sent: Thursday, 9 November 2023 1:08 PM
Cc: Robert Fothergill <Robert@thestratalife.com.au<mailto:Robert@thestratalife.com.au>>;
Samantha Dudman <Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>>
Subject: SP 86799 - 2-4 Porter Street, RYDE, NSW, 2112 - Visitor Parking
Breach - 09.11.2023

 

Dear Owners, Agents & Residents, 

 

Our office acts as Managing Agent for the above property.

 

Further to our previous letter issued on Friday the 13th
of October, we have been advised that residents are still continuing to park
vehicles in the visitor car spaces at the property. The visitor’s space is
common property and as such parking is not allowed without consent of the
Owner's Corporation. The Owner's Corporation allows parking in that area for
genuine visitors only.

 

Please find the applicable By-law below.

 

By-Law 2 clearly states:

Vehicles

‘An owner or
occupier of a lot must not park or stand any motor or other vehicle on common
property except with the written approval of the Owner’s Corporation.”

 

The following
Number Plates have been reported as continuously parking in theses spaces: 

BDK 42M, YLH 21P, DNN 86V, DDX 88S, BV 68 XN, EMP 45J,
BV5 2XS, XPQ 282, EMD 11D, CM4 8VR, BC3 3UC, CIL 31V, EMB 92H, DVW 63T.

 

If your number plate is shown above please note that
further action may be taken if they are continually found parking in these
spaces. Please ensure residents of your unit park their car either in the
allocated space or off common property i.e. on the street.

 

Please note repeated breaches of the Strata Schemes
Management Act 2015 can result in fines of up to $1100.

 

Thank you in advance for your assistance in the above
matter.

 

Kind
Regards,

 

Samantha
Dudman

Assistant Strata Manager 

D: (02) 9456 9923

E:Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image001.jpg>

   Liability Limited by a scheme
approved under Professional Standards Legislation

 

Useful Strata resources:

*	Strata Life Blog – Click here<https://www.thestratalife.com.au/knowledge-centre/>
*	Strata Living Guide – Click here<https://www.thestratalife.com.au/strata-living-guide/>
*	New NSW Strata Website – Click here<https://www.nsw.gov.au/housing-and-construction/strata>

 

 

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image002.jpg>

CONFIDENTIALITY  NOTICE

This email may be confidential and/or privileged; the information contained in this email is intended for the use of the intended recipient only and may contain information that is confidential. If you are not the intended recipient, any use, distribution, copying, disclosure or reliance on the contents of this email will be in breach of laws relating to confidential information. If you have received this email in error, please notify the sender and delete this document. We do not guarantee that this email is error or virus free.

Strata Life Pty Ltd does not guarantee that the communication is free of errors, virus, interception or interference and the recipient should check this email and attachments for viruses. This notice should remain intact.

 



 

",strata
393,strata|notice to resident|other|other,1704879641.358385,tony64,tony,,13,other|other|other|other,"Dear Timothy William Fraser & Maryanne Elizabeth Harvey,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image922783755ef5445ea4008d4d115be6b4>




From: pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au> <pmdinfo@pia.com.au<mailto:pmdinfo@pia.com.au>> On Behalf Of Samantha
Dudman
Sent: Thursday, 9 November 2023 1:08 PM
Cc: Robert Fothergill <Robert@thestratalife.com.au<mailto:Robert@thestratalife.com.au>>;
Samantha Dudman <Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>>
Subject: SP 86799 - 2-4 Porter Street, RYDE, NSW, 2112 - Visitor Parking
Breach - 09.11.2023

 

Dear Owners, Agents & Residents, 

 

Our office acts as Managing Agent for the above property.

 

Further to our previous letter issued on Friday the 13th
of October, we have been advised that residents are still continuing to park
vehicles in the visitor car spaces at the property. The visitor’s space is
common property and as such parking is not allowed without consent of the
Owner's Corporation. The Owner's Corporation allows parking in that area for
genuine visitors only.

 

Please find the applicable By-law below.

 

By-Law 2 clearly states:

Vehicles

‘An owner or
occupier of a lot must not park or stand any motor or other vehicle on common
property except with the written approval of the Owner’s Corporation.”

 

The following
Number Plates have been reported as continuously parking in theses spaces: 

BDK 42M, YLH 21P, DNN 86V, DDX 88S, BV 68 XN, EMP 45J,
BV5 2XS, XPQ 282, EMD 11D, CM4 8VR, BC3 3UC, CIL 31V, EMB 92H, DVW 63T.

 

If your number plate is shown above please note that
further action may be taken if they are continually found parking in these
spaces. Please ensure residents of your unit park their car either in the
allocated space or off common property i.e. on the street.

 

Please note repeated breaches of the Strata Schemes
Management Act 2015 can result in fines of up to $1100.

 

Thank you in advance for your assistance in the above
matter.

 

Kind
Regards,

 

Samantha
Dudman

Assistant Strata Manager 

D: (02) 9456 9923

E:Samantha@thestratalife.com.au<mailto:Samantha@thestratalife.com.au>

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image001.jpg>

   Liability Limited by a scheme
approved under Professional Standards Legislation

 

Useful Strata resources:

*	Strata Life Blog – Click here<https://www.thestratalife.com.au/knowledge-centre/>
*	Strata Living Guide – Click here<https://www.thestratalife.com.au/strata-living-guide/>
*	New NSW Strata Website – Click here<https://www.nsw.gov.au/housing-and-construction/strata>

 

 

<file:///C:/Users/amyl/AppData/Local/Temp/msohtmlclip1/01/clip_image002.jpg>

CONFIDENTIALITY  NOTICE

This email may be confidential and/or privileged; the information contained in this email is intended for the use of the intended recipient only and may contain information that is confidential. If you are not the intended recipient, any use, distribution, copying, disclosure or reliance on the contents of this email will be in breach of laws relating to confidential information. If you have received this email in error, please notify the sender and delete this document. We do not guarantee that this email is error or virus free.

Strata Life Pty Ltd does not guarantee that the communication is free of errors, virus, interception or interference and the recipient should check this email and attachments for viruses. This notice should remain intact.

 



 

",strata
